ticker,stoploss
ARMP,8
ABSI,10
ACDC,6
AETUF,10
ARDX,12
AMPY,12
ACLX,10
ATLX,6
ACB,12
AGS,12
APA,6
BTU,12
BBAI,6
CEIX,12
BNTX,10
CERE,10
BLBD,10
BIOR,8
CCCC,6
CELC,6
CGTX,12
AXR,12
CARS,10
CBT,6
CIVI,12
CVV,12
CURO,6
CNTA,10
CVE,12
CRT,6
CLNE,10
CXM,10
CNQ,8
COOP,8
CVEO,6
COHU,10
DGHI,10,
FG,6
FAT,6
FTNT,10
EGY,6
ENFN,10
ESTE,8
FRO,6
ELYM,10
FOUR,12
FULC,10
EXPR,6
DSKE,8
DOCN,6
EVTL,6
EVH,6
DMAC,6
FLYW,6
EXPI,6
EQT,12
DNMR,10
DVN,6
PEPG,8
HOLO,6
SIEB,12
QSG,12
IVVD,8
KPLT,10
MBLY,6
JILL,12
NVCT,6
PTGX,6
KNTK,12
VEON,12
PHAT,10
VAXX,8
JAKK,6
UPST,8
LBRT,10
XLO,6
UPST,10
RIG,6
TRDA,8
NXT,6
ZEV,10
MSTR,10
XXII,10
VIST,10
INDO,12
PIXY,6
VTLE,6
UPST,12
MTR,10
REI,8
TUSK,10
WFRD,6
GPCR,10
NET,6
MDGL,10
TOP,12
SJT,6
METC,8
LEU,12
ICVX,10
HEPA,6
GDEN,8
NOG,12
OLK,10
LNTH,8
MFH,6
LGVN,6
NM,12
RYCEF,12
HPK,10
TXG,10
PXS,6
NRDY,6
XENE,12
HOFV,8
VOXX,8
PBF,6
RGF,6
TRMD,8
HDSN,6
IRS,10
SKYT,6
PRVA,6
JFU,6
SMCI,8
SBOW,8
PAM,10
SHLS,6
RVYL,12
SLS,10
INOD,10
MIRO,6
YTRA,8
QFIN,6
STAA,10
VOC,12
